Name of Scholarship,Deadline,Number of Awards,Maximum Amount,GPA,Affiliation,Age,College Program?,Category,Lic Type 1,Lic Type 2,Lic Type 3,Lic Type 4,Lic Type 5,Lic Type 6,Lic Type 7,Lic Type 8,Lic Type 9,Lic Type 10,,Female / Every / Minority ,Location,Link 
Jim and Marge Gorman Scholarship Fund,December 19,1,Unknown,,US Citizen Only,Any,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
"Florence ""Coffy"" Gregory Endowment Fund",December 19,1,Unknown,,,Any,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Female,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Stephen (Ben) Haas Fund,December 19,1,Unknown,,Preference for Young Eagles,Any,Any,Flight Training,,Private,,,,,,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
"Randolph Hill ""Kanard"" Kelly Flight Training Scholarship",December 19,1,Unknown,,"Preference - Career goals in Aviation/STEM; Member of Aviation Explorers, CAP, Alpha Eta Rho, or EAA Chapter",16 - 21,Any,Flight Training,,Private,Sport/Recreational,,,,,,,,,Every,"TN - Bedford, Coffee or Rutherford Counties",https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Jason Kurt Lohr Aviation Scholarship,December 19,1,Unknown,,Preference - Candidates in greater St. Louis Metro Area,18 - 23,High School Graduate,Flight Training,,Private ,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Don and Ann Pellegreno Flight Training Scholarship,December 19,1,Unknown,,US Citizen Only,Any,Any,Flight Training,,Private,,,,,,,,,,Female,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Matthew Platt Memorial Scholarship,December 19,1,Unknown,,,< 25,Any,Flight Training,,Private,,,,,,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Tom Poberezny Memorial Scholarship,December 19,1,Unknown,,"Preference - EAA Member, EAA Young Eagle and interest in Aerobatics Flight",Any,Any,Flight Training,,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
WASP Endowment Fund,December 19,1,Unknown,,Preference - Young Eagles,Any,Any,Flight Training,Solo,Private ,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
"Elgin Wells, Jr. Starjammer CFI Scholarship",December 19,1,Unknown,,Preference - Long Term CFI,Any,Any,Flight Training,,,,,,,Certified Flight Instructor,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
